user_id,item_list
11,"Schindler's List (1993)|hotest_rec;Casablanca (1942)|hotest_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Star Wars (1977)|userCF_rec;Close Shave, A (1995)|userCF_rec;Toy Story (1995)|manual_rec;Shawshank Redemption, The (1994)|userCF_rec;Secrets & Lies (1996)|userCF_rec;Empire Strikes Back, The (1980)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;Rear Window (1954)|hotest_rec;GoldenEye (1995)|manual_rec;Usual Suspects, The (1995)|hotest_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;To Kill a Mockingbird (1962)|hotest_rec;Some Folks Call It a Sling Blade (1993)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Wizard of Oz, The (1939)|userCF_rec"
12,"Shawshank Redemption, The (1994)|userCF_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Casablanca (1942)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Braveheart (1995)|userCF_rec;Godfather, The (1972)|hotest_rec;Titanic (1997)|userCF_rec;It's a Wonderful Life (1946)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;Good Will Hunting (1997)|userCF_rec;Some Folks Call It a Sling Blade (1993)|userCF_rec;Jerry Maguire (1996)|userCF_rec;Contact (1997)|userCF_rec"
13,"Wrong Trousers, The (1993)|userCF_rec;Vertigo (1958)|userCF_rec;Schindler's List (1993)|hotest_rec;Toy Story (1995)|manual_rec;Close Shave, A (1995)|userCF_rec;Casablanca (1942)|hotest_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Shall We Dance? (1996)|userCF_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;When We Were Kings (1996)|userCF_rec;Madness of King George, The (1994)|userCF_rec;Waiting for Guffman (1996)|userCF_rec;Paths of Glory (1957)|userCF_rec;Burnt By the Sun (1994)|userCF_rec;Priest (1994)|userCF_rec"
14,"Wrong Trousers, The (1993)|userCF_rec;North by Northwest (1959)|userCF_rec;Shall We Dance? (1996)|userCF_rec;Toy Story (1995)|manual_rec;Schindler's List (1993)|hotest_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|userCF_rec;Casablanca (1942)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;Maltese Falcon, The (1941)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;12 Angry Men (1957)|userCF_rec;My Life as a Dog (Mitt liv som hund) (1985)|userCF_rec;As Good As It Gets (1997)|userCF_rec;Manchurian Candidate, The (1962)|userCF_rec"
15,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Four Rooms (1995)|manual_rec;Casablanca (1942)|hotest_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Empire Strikes Back, The (1980)|userCF_rec;Braveheart (1995)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Raiders of the Lost Ark (1981)|userCF_rec;Four Weddings and a Funeral (1994)|userCF_rec;Star Wars (1977)|hotest_rec;Close Shave, A (1995)|userCF_rec;Silence of the Lambs, The (1991)|userCF_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Forbidden Planet (1956)|userCF_rec;Godfather, The (1972)|hotest_rec;Blade Runner (1982)|userCF_rec"
16,"Return of the Jedi (1983)|userCF_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Hoop Dreams (1994)|userCF_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Close Shave, A (1995)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;Princess Bride, The (1987)|userCF_rec;Star Wars (1977)|userCF_rec;Some Folks Call It a Sling Blade (1993)|userCF_rec;Get Shorty (1995)|manual_rec;To Kill a Mockingbird (1962)|hotest_rec;Sling Blade (1996)|userCF_rec;Copycat (1995)|manual_rec;Glory (1989)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec"
17,"Close Shave, A (1995)|userCF_rec;Schindler's List (1993)|hotest_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Casablanca (1942)|hotest_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Silence of the Lambs, The (1991)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|userCF_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;Godfather, The (1972)|hotest_rec;Wrong Trousers, The (1993)|userCF_rec;Princess Bride, The (1987)|userCF_rec"
18,"Titanic (1997)|userCF_rec;Toy Story (1995)|manual_rec;Schindler's List (1993)|hotest_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;L.A. Confidential (1997)|userCF_rec;Silence of the Lambs, The (1991)|hotest_rec;As Good As It Gets (1997)|userCF_rec;Godfather, The (1972)|hotest_rec;Hamlet (1996)|userCF_rec;Good Will Hunting (1997)|userCF_rec;Paths of Glory (1957)|userCF_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Manchurian Candidate, The (1962)|userCF_rec;Apt Pupil (1998)|userCF_rec;Deer Hunter, The (1978)|userCF_rec"
19,"Toy Story (1995)|manual_rec;Close Shave, A (1995)|userCF_rec;Third Man, The (1949)|userCF_rec;Casablanca (1942)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;Schindler's List (1993)|hotest_rec;Usual Suspects, The (1995)|userCF_rec;12 Angry Men (1957)|userCF_rec;GoldenEye (1995)|manual_rec;North by Northwest (1959)|userCF_rec;Four Rooms (1995)|manual_rec;Blade Runner (1982)|userCF_rec;Get Shorty (1995)|manual_rec;Boot, Das (1981)|userCF_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;As Good As It Gets (1997)|userCF_rec;Rear Window (1954)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec"
20,"Titanic (1997)|userCF_rec;Shawshank Redemption, The (1994)|userCF_rec;Casablanca (1942)|userCF_rec;Schindler's List (1993)|hotest_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;North by Northwest (1959)|userCF_rec;Close Shave, A (1995)|userCF_rec;Copycat (1995)|manual_rec;Wrong Trousers, The (1993)|userCF_rec;Usual Suspects, The (1995)|userCF_rec;Rear Window (1954)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;My Fair Lady (1964)|userCF_rec;Affair to Remember, An (1957)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec"
21,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Seven (Se7en) (1995)|userCF_rec;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|userCF_rec;Get Shorty (1995)|manual_rec;Alien (1979)|userCF_rec;Copycat (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Casablanca (1942)|hotest_rec;Citizen Kane (1941)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;2001: A Space Odyssey (1968)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Blade Runner (1982)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;Good Will Hunting (1997)|userCF_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Reservoir Dogs (1992)|userCF_rec"
22,"Toy Story (1995)|manual_rec;Usual Suspects, The (1995)|userCF_rec;Braveheart (1995)|userCF_rec;Schindler's List (1993)|hotest_rec;GoldenEye (1995)|manual_rec;Silence of the Lambs, The (1991)|userCF_rec;Four Rooms (1995)|manual_rec;Casablanca (1942)|hotest_rec;Get Shorty (1995)|manual_rec;Fargo (1996)|userCF_rec;Shawshank Redemption, The (1994)|userCF_rec;Copycat (1995)|manual_rec;Wrong Trousers, The (1993)|userCF_rec;Rear Window (1954)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Godfather, The (1972)|hotest_rec;Shall We Dance? (1996)|userCF_rec;Gandhi (1982)|userCF_rec"
23,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Secrets & Lies (1996)|userCF_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|userCF_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Sunset Blvd. (1950)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|userCF_rec;North by Northwest (1959)|userCF_rec;Boot, Das (1981)|userCF_rec;Good Will Hunting (1997)|userCF_rec;Shall We Dance? (1996)|userCF_rec"
24,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Rear Window (1954)|userCF_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Copycat (1995)|manual_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;Vertigo (1958)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Wrong Trousers, The (1993)|userCF_rec;Close Shave, A (1995)|userCF_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|userCF_rec;Raging Bull (1980)|userCF_rec;Cinema Paradiso (1988)|userCF_rec;Good Will Hunting (1997)|userCF_rec"
25,"Toy Story (1995)|manual_rec;Casablanca (1942)|userCF_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|userCF_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Titanic (1997)|userCF_rec;L.A. Confidential (1997)|userCF_rec;Lone Star (1996)|userCF_rec;Empire Strikes Back, The (1980)|userCF_rec;Some Folks Call It a Sling Blade (1993)|userCF_rec;It's a Wonderful Life (1946)|userCF_rec"
26,"Schindler's List (1993)|hotest_rec;Casablanca (1942)|hotest_rec;Toy Story (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Rear Window (1954)|hotest_rec;Copycat (1995)|manual_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Close Shave, A (1995)|userCF_rec;Pulp Fiction (1994)|userCF_rec"
27,"Casablanca (1942)|userCF_rec;Toy Story (1995)|manual_rec;Schindler's List (1993)|hotest_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Rear Window (1954)|userCF_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Good Will Hunting (1997)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Princess Bride, The (1987)|userCF_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;Terminator 2: Judgment Day (1991)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Third Man, The (1949)|userCF_rec;Godfather, The (1972)|hotest_rec;Citizen Kane (1941)|userCF_rec"
28,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Schindler's List (1993)|userCF_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Wrong Trousers, The (1993)|userCF_rec;Casablanca (1942)|hotest_rec;12 Angry Men (1957)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|userCF_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;Die Hard (1988)|userCF_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Manchurian Candidate, The (1962)|userCF_rec;Mr. Smith Goes to Washington (1939)|userCF_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec"
29,"Schindler's List (1993)|hotest_rec;Toy Story (1995)|manual_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Close Shave, A (1995)|userCF_rec;Henry V (1989)|userCF_rec;Cinema Paradiso (1988)|userCF_rec;To Kill a Mockingbird (1962)|hotest_rec;Copycat (1995)|manual_rec;Wrong Trousers, The (1993)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Vertigo (1958)|userCF_rec;Apt Pupil (1998)|userCF_rec;African Queen, The (1951)|userCF_rec"
30,"Toy Story (1995)|manual_rec;Close Shave, A (1995)|userCF_rec;Schindler's List (1993)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|userCF_rec;GoldenEye (1995)|manual_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|userCF_rec;Casablanca (1942)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Wrong Trousers, The (1993)|userCF_rec;E.T. the Extra-Terrestrial (1982)|userCF_rec"
31,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Close Shave, A (1995)|userCF_rec;Four Rooms (1995)|manual_rec;Wrong Trousers, The (1993)|userCF_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Schindler's List (1993)|userCF_rec;Terminator 2: Judgment Day (1991)|userCF_rec;Terminator, The (1984)|userCF_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;Chinatown (1974)|userCF_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Vertigo (1958)|userCF_rec;Sunset Blvd. (1950)|userCF_rec;Godfather, The (1972)|hotest_rec;Apt Pupil (1998)|userCF_rec"
